Displacement,Load
0.015, 242.798
0.015, 144.033
0.038, 333.333
0.046, 448.560
0.061, 539.095
0.069, 621.399
0.084, 761.317
0.084, 695.473
0.099, 843.621
0.107, 917.695
0.115, 1016.461
0.122, 1106.996
0.130, 1238.683
0.130, 1172.840
0.137, 1312.757
0.141, 1442.682
0.145, 1378.601
0.146, 1483.955
0.160, 1526.749
0.166, 1582.652
0.191, 1625.514
0.206, 1691.358
0.214, 1748.971
0.221, 1814.815
0.229, 1864.198
0.244, 1913.580
0.260, 1962.963
0.275, 2020.576
0.290, 2061.728
0.315, 2095.876
0.330, 2120.401
0.344, 2168.724
0.348, 2211.472
0.366, 2275.720
0.382, 2333.333
0.389, 2390.947
0.404, 2445.802
0.427, 2497.942
0.450, 2572.016
0.473, 2629.630
0.504, 2703.704
0.519, 2753.086
0.542, 2802.469
0.557, 2843.621
0.565, 2884.774
0.588, 2925.926
0.591, 2971.947
0.610, 3020.039
0.627, 3041.125
0.654, 3087.333
0.672, 3125.914
0.694, 3174.366
0.714, 3219.228
0.734, 3260.501
0.741, 3290.899
0.761, 3312.541
0.779, 3337.395
0.811, 3408.098
0.830, 3415.614
0.850, 3441.745
0.870, 3459.690
0.890, 3469.260
0.940, 3499.886
0.961, 3507.878
0.980, 3489.598
1.000, 3477.036
1.022, 3458.912
1.048, 3422.364
1.065, 3412.335
1.084, 3374.750
1.095, 3343.945
1.115, 3258.707
1.183, 3147.149
1.203, 3117.540
1.222, 3084.282
1.240, 3046.824
1.251, 3008.599
1.268, 2998.580
1.297, 2965.606
1.311, 2938.689
1.393, 2795.130
1.418, 2738.304
1.442, 2685.666
1.472, 2622.520
1.485, 2589.960
1.495, 2518.094
1.500, 2478.582
1.520, 2475.710
1.540, 2452.083
1.559, 2428.037
1.579, 2407.520
1.599, 2388.079
1.616, 2254.808
1.619, 2360.364
1.632, 2312.753
1.636, 2256.920
1.636, 2215.039
1.638, 2142.234
1.646, 2112.924
1.653, 2001.836
1.654, 2218.261
1.663, 1967.869
1.683, 1954.411
1.699, 1930.693
1.716, 1889.308
1.734, 1874.197
1.753, 1825.925
1.773, 1801.580
1.792, 1790.514
1.812, 1771.373
1.832, 1759.589
1.852, 1746.549
1.872, 1732.292
1.892, 1715.205
1.912, 1688.347
1.931, 1649.626
1.939, 1618.183
1.959, 1591.026
1.979, 1569.841
1.999, 1545.267
2.019, 1509.078
2.037, 1470.881
2.052, 1433.829
2.069, 1386.155
2.089, 1323.348
2.105, 1269.064
2.107, 1209.996
2.110, 1160.803
