Displacement,Load
0.015, 176.955
0.015, 102.881
0.023, 226.337
0.038, 308.642
0.046, 407.407
0.061, 497.942
0.069, 572.016
0.076, 687.243
0.076, 646.091
0.082, 828.068
0.084, 769.547
0.099, 884.774
0.107, 942.387
0.122, 1148.148
0.122, 1098.765
0.122, 1008.230
0.127, 1203.341
0.132, 1261.964
0.147, 1340.994
0.161, 1401.408
0.164, 1466.907
0.174, 1521.191
0.179, 1563.223
0.180, 1611.364
0.195, 1653.534
0.200, 1744.754
0.208, 1789.916
0.216, 1839.862
0.229, 1859.901
0.230, 1905.660
0.234, 1947.292
0.246, 1992.394
0.264, 2127.035
0.273, 2167.656
0.278, 2219.184
0.297, 2309.720
0.308, 2355.924
0.328, 2447.896
0.342, 2494.453
0.357, 2582.782
0.379, 2688.058
0.399, 2789.746
0.417, 2872.122
0.443, 2961.180
0.464, 3043.368
0.489, 3125.914
0.508, 3195.900
0.529, 3262.296
0.556, 3336.588
0.575, 3372.529
0.591, 3414.528
0.611, 3448.908
0.624, 3471.354
0.637, 3515.319
0.662, 3575.973
0.681, 3614.016
0.714, 3658.878
0.731, 3694.319
0.747, 3724.262
0.767, 3748.573
0.787, 3776.796
0.807, 3800.344
0.827, 3824.550
0.847, 3835.935
0.867, 3842.215
0.887, 3847.898
0.907, 3848.197
0.927, 3826.364
0.947, 3806.326
0.967, 3777.016
0.983, 3744.142
0.989, 3689.026
0.995, 3648.111
1.005, 3577.229
1.034, 3489.747
1.060, 3402.954
1.076, 3288.555
1.080, 3260.501
1.087, 3168.085
1.100, 3080.603
1.122, 2942.158
1.144, 2789.268
1.167, 2677.292
1.188, 2630.276
1.212, 2578.146
1.232, 2539.116
1.242, 2521.171
1.288, 2430.370
1.306, 2410.510
1.326, 2393.463
1.346, 2384.042
1.364, 2380.303
1.416, 2361.461
1.435, 2352.937
1.486, 2333.646
1.506, 2326.768
1.525, 2319.590
1.543, 2312.561
1.569, 2287.169
1.604, 2261.328
1.636, 2237.940
1.648, 2226.874
1.716, 2167.357
1.728, 2164.067
1.773, 2140.589
1.792, 2135.056
1.807, 2130.570
1.846, 2120.700
1.866, 2114.419
1.886, 2104.251
1.906, 2094.082
1.922, 2088.698
1.969, 2069.278
1.989, 2057.295
2.011, 2048.621
2.027, 2040.606
2.052, 2021.704
2.072, 2007.647
2.112, 1977.141
2.139, 1955.906
2.154, 1936.167
2.179, 1908.801
2.204, 1883.528
2.224, 1861.994
2.253, 1768.202
2.271, 1748.463
2.285, 1735.184
2.310, 1718.315
2.332, 1698.397
2.350, 1687.809
2.392, 1666.395
2.412, 1651.142
2.430, 1639.717
2.468, 1623.925
2.485, 1619.439
2.511, 1603.588
2.528, 1591.176
2.550, 1574.397
2.575, 1556.183
2.606, 1528.099
2.638, 1505.130
2.670, 1477.136
2.691, 1458.832
2.711, 1438.644
2.723, 1426.531
2.749, 1396.473
2.769, 1378.080
2.788, 1362.827
2.816, 1335.012
2.834, 1314.824
2.857, 1279.383
2.878, 1248.278
2.897, 1225.997
2.928, 1185.770
2.943, 1174.106
2.969, 1137.618
3.016, 1071.940
3.031, 1047.893
3.056, 950.273
3.076, 933.046
3.097, 915.998
3.119, 898.053
3.141, 877.716
3.197, 800.054
3.217, 776.925
3.237, 764.364
3.257, 750.008
3.277, 734.755
3.295, 718.604
3.317, 702.753
3.337, 693.182
3.359, 681.817
3.374, 675.985
3.413, 648.918
3.450, 628.880
3.470, 617.216
3.490, 604.654
3.508, 594.964
3.538, 579.531
3.563, 568.764
3.583, 563.082
3.603, 552.614
3.617, 549.025
3.653, 534.370
3.672, 529.285
3.720, 516.724
3.750, 506.555
3.770, 503.864
3.790, 497.583
3.810, 489.807
3.830, 485.320
3.841, 484.423
3.893, 473.357
3.913, 468.273
3.933, 466.329
3.948, 463.487
4.019, 452.122
4.039, 446.739
4.059, 440.757
4.079, 439.262
4.099, 436.570
4.119, 433.280
4.134, 431.187
4.196, 418.924
4.216, 419.522
4.234, 415.784
4.256, 409.055
4.271, 409.055
4.292, 399.185
4.326, 390.511
4.342, 388.418
4.394, 376.754

